epoch,step,test_f1_general,test_f1_score,test_loss,train_f1_general,train_f1_score,train_loss,val_f1_general,val_f1_score,val_loss
0,446,,,,,,,0.0,0.0,0.05331303924322128
0,446,,,,0.0043914285488426685,0.0006344968569464982,0.08546987920999527,,,
1,893,,,,,,,0.14203938841819763,0.05331716686487198,0.042993467301130295
1,893,,,,0.06718224287033081,0.02382477931678295,0.04378760978579521,,,
2,1340,,,,,,,0.3845983147621155,0.15441688895225525,0.042006898671388626
2,1340,,,,0.3001241981983185,0.1173068955540657,0.03145242854952812,,,
3,1787,,,,,,,0.4633088707923889,0.20442891120910645,0.04130962863564491
3,1787,,,,0.4696602523326874,0.20686301589012146,0.023787526413798332,,,
4,2234,,,,,,,0.508491039276123,0.24080531299114227,0.043235894292593
4,2234,,,,0.59538334608078,0.2829810082912445,0.01879913918673992,,,
5,2681,,,,,,,0.4903564751148224,0.24165107309818268,0.04494854807853699
5,2681,,,,0.6612521409988403,0.32098791003227234,0.015115015208721161,,,
6,3128,,,,,,,0.49404099583625793,0.23162662982940674,0.06028544902801514
6,3128,,,,0.6778361797332764,0.3425469696521759,0.012292323634028435,,,
7,3575,,,,,,,0.4889303743839264,0.2405516505241394,0.06123175844550133
7,3575,,,,0.7114223837852478,0.36140915751457214,0.010277772322297096,,,
8,4022,,,,,,,0.47967028617858887,0.23212414979934692,0.06558527052402496
8,4022,,,,0.7121152281761169,0.3558214604854584,0.008596347644925117,,,
9,4469,,,,,,,0.48410820960998535,0.23245933651924133,0.07558160275220871
9,4469,,,,0.7347697019577026,0.37051641941070557,0.007350797299295664,,,
10,4916,,,,,,,0.5011458396911621,0.25659874081611633,0.06331333518028259
10,4916,,,,0.7407485842704773,0.3796045482158661,0.006941324565559626,,,
11,5363,,,,,,,0.5118436217308044,0.25552603602409363,0.0629018247127533
11,5363,,,,0.7480558156967163,0.3873046934604645,0.005917869042605162,,,
12,5810,,,,,,,0.5033907294273376,0.249131441116333,0.0728660523891449
12,5810,,,,0.7466078400611877,0.3935403823852539,0.005274570547044277,,,
13,6257,,,,,,,0.47587069869041443,0.2288506180047989,0.08552893251180649
13,6257,,,,0.7594762444496155,0.382315069437027,0.00436710799112916,,,
14,6704,,,,,,,0.4889439344406128,0.2426777482032776,0.08075468242168427
14,6704,,,,0.7540013194084167,0.3798940181732178,0.0043149651028215885,,,
15,7151,,,,,,,0.49856412410736084,0.24938395619392395,0.08797694742679596
15,7151,,,,0.7455834150314331,0.3829014003276825,0.003826691070571542,,,
16,7598,,,,,,,0.4915686249732971,0.24013368785381317,0.09506343305110931
16,7598,,,,0.7681021094322205,0.3874145746231079,0.003676408203318715,,,
17,8045,,,,,,,0.48790255188941956,0.24173560738563538,0.09337640553712845
17,8045,,,,0.7614307999610901,0.38392600417137146,0.003100265981629491,,,
18,8492,,,,,,,0.48059380054473877,0.2405036985874176,0.0972505658864975
18,8492,,,,0.7403920292854309,0.38078153133392334,0.003290381981059909,,,
19,8939,,,,,,,0.4722985327243805,0.23337779939174652,0.10270777344703674
19,8939,,,,0.7664138078689575,0.3980467617511749,0.003134368220344186,,,
20,9386,,,,,,,0.47264182567596436,0.24415342509746552,0.09806929528713226
20,9386,,,,0.7590955495834351,0.3915843963623047,0.0027867062017321587,,,
21,9833,,,,,,,0.4529750347137451,0.22458899021148682,0.11040406674146652
21,9833,,,,0.7620748281478882,0.3882606029510498,0.0020785292144864798,,,
22,10280,,,,,,,0.5033425092697144,0.25185641646385193,0.09544473886489868
22,10280,,,,0.767510175704956,0.3857833445072174,0.0022848560474812984,,,
23,10727,,,,,,,0.49125978350639343,0.24967555701732635,0.1166282594203949
23,10727,,,,0.7696073651313782,0.3821025490760803,0.001999887637794018,,,
24,11174,,,,,,,0.5029553174972534,0.25301867723464966,0.10940108448266983
24,11174,,,,0.7608291506767273,0.3867350220680237,0.0024935572873800993,,,
25,11621,,,,,,,0.5023460388183594,0.24968856573104858,0.1067660003900528
25,11621,,,,0.7633261680603027,0.39267340302467346,0.0021865221206098795,,,
26,12068,,,,,,,0.481771856546402,0.2439991682767868,0.11395768076181412
26,12068,,,,0.7663078904151917,0.39185020327568054,0.0018694124883040786,,,
27,12515,,,,,,,0.4938814342021942,0.23342569172382355,0.11046775430440903
27,12515,,,,0.7739884853363037,0.38733479380607605,0.00156334787607193,,,
28,12962,,,,,,,0.4999290704727173,0.24902693927288055,0.09407693892717361
28,12962,,,,0.773857831954956,0.38748693466186523,0.0016611787723377347,,,
29,13409,,,,,,,0.4793647825717926,0.23699331283569336,0.11694852262735367
29,13409,,,,0.7824622392654419,0.39041146636009216,0.001345436554402113,,,
30,13856,,,,,,,0.5135530829429626,0.24911834299564362,0.11252310127019882
30,13856,,,,0.7567628026008606,0.3861519992351532,0.0016966797411441803,,,
31,13857,0.5321916937828064,0.26621273159980774,0.05703532695770264,,,,,,
